,ID,title,abstract,date,doi,author_corresponding,author_corresponding_institution,source,eligible
158,32615862,Profiles of COVID-19 clinical trials in the Chinese Clinical Trial Registry.,"The COVID-19 pandemic has caused a global public health crisis. There is a pressing need for evidence-based interventions to address the devastating clinical and public health effects of the COVID-19 pandemic. The Chinese scientists supported by private and government resources have adopted extensive efforts to identify effective drugs against the virus. To date, a large number of clinical trials addressing various aspects of COVID19 have been registered in the Chinese Clinical Trial Registry (C",04/08/2020,10.1080/22221751.2020.1791736,Peng Xu,"Neurology Department, The A...liated Hospital to Changchun University of Chinese Medicine, Changchun, People's Republic of China",pubmed,0
183,32554907,Current global vaccine and drug efforts against COVID-19: Pros and cons of bypassing animal trials.,"COVID-19 has become one of the biggest health concern, along with huge economic burden. With no clear remedies to treat the disease, doctors are repurposing drugs like chloroquine and remdesivir to treat COVID-19 patients. In parallel, research institutes in collaboration with biotech companies have identified strategies to use viral proteins as vaccine candidates for COVID-19. Although this looks promising, they still need to pass the test of challenge studies in animal models. As various model",25/06/2020,,Bijayeeta Deb,"Indian Institute of Science Education and Research (IISER) Tirupati, Tirupati 517 507, India",pubmed,0
189,32535032,Vitamin D receptor stimulation to reduce acute respiratory distress syndrome (ARDS) in patients with coronavirus SARS-CoV-2 infections: Revised Ms SBMB 2020_166.,"Coronavirus infection is a serious health problem awaiting an effective vaccine and/or antiviral treatment. The major complication of coronavirus disease 2019 (COVID-19), the Acute Respiratory Distress syndrome (ARDS), is due to a variety of mechanisms including cytokine storm, dysregulation of the renin-angiotensin system, neutrophil activation and increased (micro)coagulation. Based on many preclinical studies and observational data in humans, ARDS may be aggravated by vitamin D deficiency and",14/09/2020,10.1016/j.jsbmb.2020.105719,Jose Manuel Quesada-Gomez,"Instituto Maim..nides de Investigaci..n Biom..dica de C..rdoba (IMIBIC). Hospital Universitario Reina Sof..a, Universidad de C..rdoba, Fundaci..n Progreso y Salud, Avda. Men..ndez Pidal s/n, 14004, C..rdoba, Spain",pubmed,0
196,32515685,Dynamic surveillance of SARS-CoV-2 shedding and neutralizing antibody in children with COVID-19.,"Coronavirus disease 2019 (COVID-19) caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) emerged in China and quickly spread globally. In this study, we investigated the characteristics of viral shedding from different sites and the neutralizing antibody (NAb) response during the acute and convalescent phases of nine children with COVID-19. SARS-CoV-2 was detected in their nasopharyngeal swabs (9/9, 100%), stool samples (8/9, 89%), and oropharyngeal swabs (3/9, 33%) but was not",12/06/2020,10.1080/22221751.2020.1772677,Pengcheng Liu,"Department of Clinical Laboratory, Children's Hospital of Fudan University, Shanghai, People's Republic of China",pubmed,0
224,32459574,"The world is waiting, use sequential analysis and get us the evidence-based treatment we need for COVID-19.","In spite of the relatively high morbidity and mortality, there is no approved medication yet for COVID-19. There are more than 200 ongoing trials on different drugs or vaccines, but new medications may take until 2021 to develop. Defining the optimal number of patients to be included in a study is a considerable challenge in these interventional researches. Ethical considerations prompt researchers to minimize the number of patients included in a trial. This gains particular importance when the ",08/06/2020,10.1080/19932820.2020.1770518,Adel El Taguri,"National Center for Accreditation of Health Establishments- , Tripoli-Libya, Libya",pubmed,0
226,32452350,Understanding immune effects of oestrogens to explain the reduced morbidity and mortality in female versus male COVID-19 patients. Comparisons with autoimmunity and vaccination.,NA,04/06/2020,,Maurizio Cutolo,"Research Laboratory and Academic Division of Clinical Rheumatology, Department of Internal Medicine DiMI, University of Genova, IRCCS San Martino Polyclinic, Genova, Italy. mcutolo@unige",pubmed,0
314,32232214,Potential Treatments for COVID-19; a Narrative Literature Review.,"SARS-CoV-2 is a newly emerging human infectious coronavirus that causes COVID-19, which has been recognized as a pandemic by the World Health Organization (WHO) on March 11<sup>th</sup>. There is still no vaccine or definitive treatment for this virus because its pathogenesis and proliferation pathways are still unknown. Therefore, in this article, new potential COVID-19 therapies are briefly reviewed.",04/04/2020,,Ali Rismanbaf,"Department of Clinical Pharmacy and Pharmacy Practice, School of Pharmacy and Pharmaceutical Sciences, Isfahan University of Medical Sciences, Isfahan, Iran",pubmed,0
333,32288873,Immune response of mature cows subjected to annual booster vaccination against neonatal calf diarrhoea with two different commercial vaccines: A non-inferiority study.,"Neonatal calf diarrhoea can have important economic consequences. Scour vaccines are available against some of the most frequent pathogens responsible for this disease: Bovine Rotavirus (BoRV), Bovine Coronavirus (BoCV) and E. coli K99. In this multi-centre, randomised, blinded study, adult cows vaccinated with a trivalent vaccine marketed for years (Rotavec... Corona, MSD Animal Health - RC) prior to last parturition were revaccinated 12-15 months later, prior to the upcoming parturition",05/06/2020,10.1016/j.livsci.2017.08.011,Luc Durel,"Virbac S.A., 13..me rue L.I.D., F-06511 Carros Cedex, France",pubmed,0
65,32829400,BCG vaccination in infancy does not protect against COVID-19. Evidence from a natural experiment in Sweden.,"The Bacille Calmette-Gu..rin (BCG) tuberculosis vaccine has immunity benefits against respiratory infections. Accordingly, it has been hypothesized to have a protective effect against COVID-19. Recent research found that countries with universal BCG childhood vaccination policies tend to be less affected by the COVID-19 pandemic. However, such ecological studies are biased by numerous confounders. Instead, this paper takes advantage of a rare nationwide natural experiment that took place in Swed",23/08/2020,10.1093/cid/ciaa1223,Cl..ment de Chaisemartin,"Department of Economics, University of California, Santa Barbara, Santa Barbara, CA 93106, USA",pubmed,0
66,32821086,A Review on Remdesivir: A Possible Promising Agent for the Treatment of COVID-19.,"The novel coronavirus 2019 (2019-nCoV), formally named severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), is a novel human infectious coronavirus. The disease caused by SARS-CoV-2 is named COVID-19. Development and manufacturing of specific therapeutics and vaccines to treat COVID-19 are time-consuming processes. At this time, using available conventional therapeutics along with other treatment options may be useful to fight COVID-19. In different clinical trials, efficacy of remdesiv",27/08/2020,10.2147/DDDT.S261154,Seyed MohammadReza Hashemian,"Clinical Tuberculosis and Epidemiology Research Center, National Research Institute of Tuberculosis and Lung Disease (NRITLD), Shahid Beheshti University of Medical Sciences, Tehran, Iran",pubmed,0
67,32820746,"Prevention and Control of Seasonal Influenza with Vaccines: Recommendations of the Advisory Committee on Immunization Practices - United States, 2020-21 Influenza Season.","This report updates the 2019-20 recommendations of the Advisory Committee on Immunization Practices (ACIP) regarding the use of seasonal influenza vaccines in the United States (MMWR Recomm Rep 2019;68[No. RR-3]). Routine annual influenza vaccination is recommended for all persons aged ...6 months who do not have contraindications. For each recipient, a licensed and age-appropriate vaccine should be used. Inactivated influenza vaccines (IIVs), recombinant influenza vaccine (RIV4), and live atten",25/08/2020,10.15585/mmwr.rr6908a1,Lisa A Grohskopf,NA,pubmed,0
68,32817958,Considering indirect benefits is critical when evaluating SARS-CoV-2 vaccine candidates.,"Significant progress has already been made in development and testing of SARS-CoV-2 vaccines, and Phase III clinical trials have begun for 6 novel vaccine candidates to date. These Phase III trials seek to demonstrate direct benefits of a vaccine on vaccine recipients. However, vaccination is also known to bring about indirect benefits to a population through the reduction of virus circulation. The indirect effects of SARS-CoV-2 vaccination can play a key role in reducing case counts and COVID-1",22/08/2020,10.1101/2020.08.07.20170456,Molly E Gallagher,NA,pubmed,0
69,32813843,Study of ongoing registered clinical trials on COVID-19: a narrative review.,"The dangerous SARS-CoV-2 virus first emerged in China in December 2019 and has rapidly spread worldwide. Currently, it has affected more than 2,850,000 people. No vaccine or drug is available yet, and therefore researchers and scientists are striving to identify potential drugs or vaccines for combating this virus. We were unable to find any review of the literature or analysis on ongoing registered clinical trials that reported diagnostic tests, therapeutics, vaccines and devices for COVID-19 a",19/08/2020,10.1590/1516-3180.2020.0208.r1.15062020,Md Insiat Islam Rabby,"Department of Mechanical and Manufacturing Engineering, Universiti Putra Malaysia, Seri Kembangan, Selangor, Malaysia",pubmed,0
70,32808095,Mistrust in biomedical research and vaccine hesitancy: the forefront challenge in the battle against COVID-19 in Italy.,Researchers have been working quickly and collaboratively for the development of vaccines against the COVID-19 virus. The effort of the scientific community in searching a vaccine for COVID-19 may be hampered by a diffused vaccine hesitancy. Two waves of data collection on representative samples of the Italian population (during the &quot;first&quot; and &quot;second&quot; phase of the Italian Covid-19 mitigation strategy) were conducted to understand citizens' perceptions and behaviors about pr,16/09/2020,10.1007/s10654-020-00675-8,Lorenzo Palamenghi,"Department of Psychology, EngageMinds HUB - Consumer, Food and Health Engagement Research Center, Universit.. Cattolica del Sacro Cuore, Milan, Italy",pubmed,0
71,32802896,The Application of Single-Cell RNA Sequencing in Vaccinology.,"Single-cell RNA sequencing allows highly detailed profiling of cellular immune responses from limited-volume samples, advancing prospects of a new era of systems immunology. The power of single-cell RNA sequencing offers various opportunities to decipher the immune response to infectious diseases and vaccines. Here, we describe the potential uses of single-cell RNA sequencing methods in prophylactic vaccine development, concentrating on infectious diseases including COVID-19. Using examples from",24/08/2020,10.1155/2020/8624963,Andr..s No..,"The Jenner Institute, University of Oxford, Old Road Campus Research Building, Oxford OX3 7DQ, UK",pubmed,0
72,32798320,Considerations for stakeholder engagement and COVID-19 related clinical trials' conduct in sub-Saharan Africa.,"The aim of this study is to determine how stakeholder engagement can be adapted for the conduct of COVID-19-related clinical trials in sub-Saharan Africa. Nine essential stakeholder engagement practices were reviewed: formative research; stakeholder engagement plan; communications and issues management plan; protocol development; informed consent process; standard of prevention for vaccine research and standard of care for treatment research; policies on trial-related physical, psychological, fi",09/09/2020,10.1111/dewb.12283,Morenike Oluwatoyin Folayan,NA,pubmed,0
73,32795830,Autoimmunity to ACE2 as a possible cause of tissue inflammation in Covid-19.,"The delayed lung damage after SARS-CoV-2 infection may be caused by an autoimmune response to ACE2 induced by forced presentation of the ACE2 protein in a complex with CoV Spike in Fc Receptor positive Antigen Presenting Cells in the lung. The likelihood that this hypothesis is valid is low, but it is easily tested. 1) Autoantibodies and T cells to ACE2 may be found in patients with the lung damage but not in those without 2) There may be an HLA linkage with the delayed lung disease 3) Vaccines ",19/08/2020,10.1016/j.mehy.2020.110043,Alain Townsend,"Human Immunology Unit, Weatherall Institute, Oxford OX39DS, United Kingdom. Electronic address: Alain.townsend@imm.ox.ac",pubmed,0
74,32795413,A Thermostable mRNA Vaccine against COVID-19.,"There is an urgent need for vaccines against coronavirus disease 2019 (COVID-19) because of the ongoing SARS-CoV-2 pandemic. Among all approaches, a messenger RNA (mRNA)-based vaccine has emerged as a rapid and versatile platform to quickly respond to this challenge. Here, we developed a lipid nanoparticle-encapsulated mRNA (mRNA-LNP) encoding the receptor binding domain (RBD) of SARS-CoV-2 as a vaccine candidate (called ARCoV). Intramuscular immunization of ARCoV mRNA-LNP elicited robust neutra",17/09/2020,10.1016/j.cell.2020.07.024,Na-Na Zhang,"State Key Laboratory of Pathogen and Biosecurity, Beijing Institute of Microbiology and Epidemiology, Academy of Military Medical Sciences, Beijing 100071, China",pubmed,0
75,32793504,Urological Care and COVID-19: Looking Forward.,"The recent COVID-19 pandemic represents a worldwide emergency and it is affecting healthcare at every level, including also urological care and especially oncologic patients. Recent epidemiological models show that, without effective treatment or vaccine, there will be a long-lasting phase of cohabitation with the virus. Current experts' opinions recommend performing only non-deferrable uro-oncological surgery and postponing other activities until the end of the emergency, with particular concer",18/08/2020,10.3389/fonc.2020.01313,Tommaso Prayer-Galetti,"Clinica Urologica, Department of Surgical and Oncological Sciences, University of Padua, Padua, Italy",pubmed,0
76,32792417,Convalescent Plasma Therapy for COVID-19: State of the Art.,Convalescent plasma (CP) therapy has been used since the early 1900s to treat emerging infectious diseases; its efficacy was later associated with the evidence that polyclonal neutralizing antibodies can reduce the duration of viremia. Recent large outbreaks of viral diseases for which effective antivirals or vaccines are still lacking has renewed the interest in CP as a life-saving treatment. The ongoing COVID-19 pandemic has led to the scaling up of CP therapy to unprecedented levels. Compared,20/08/2020,10.1128/CMR.00072-20,Daniele Focosi,"North-Western Tuscany Blood Bank, Pisa University Hospital, Pisa, Italy daniele.focosi@gmail",pubmed,0
78,32792167,Current updates on the European and WHO registered clinical trials of coronavirus disease 2019 (COVID-19).,"Coronavirus disease 2019 (COVID-19) is a major public health concern currently. To date, there are no approved antiviral drugs or vaccines against this transmissible disease. This report sheds light on available information for a better understanding of clinical trials and pharmacotherapy related to COVID-19. MEDLINE, PubMed, EMBASE, Scopus databases, Web of Science, WHO, and EU clinical trial sites were used to perform comparative analysis. Information was collected on the use of therapeutic ag",09/09/2020,10.1016/j.bj.2020.07.008,Henu Kumar Verma,"Institute of Experimental Endocrinology and Oncology CNR, Naples, Italy. Electronic address: henu.verma@yahoo",pubmed,0
80,32787752,Drug Repurposing: A Strategy for Discovering Inhibitors against Emerging Viral Infections.,"Viral diseases are responsible for several deaths around the world. Over the past few years, the world has seen several outbreaks caused by viral diseases that for a long time seemed to possess no risk. These are diseases that have been forgotten for a long time and, until nowadays, there are no approved drugs or vaccines, leading the pharmaceutical industry and several research groups to run out of time in the search for new pharmacological treatments or prevention methods. In this context, dru",13/08/2020,10.2174/0929867327666200812215852,Igor Jos.. Dos Santos Nascimento,"Chemistry and Biotechnology Institute, Federal University of Alagoas, Macei... Brazil",pubmed,0
82,32784685,Vaccine Candidates against Coronavirus Infections. Where Does COVID-19 Stand?,"Seven years after the Middle East respiratory syndrome (MERS) outbreak, a new severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) made its first appearance in a food market in Wuhan, China, drawing an entirely new course to our lives. As the virus belongs to the same genus of MERS and SARS, researchers have been trying to draw lessons from previous outbreaks to find a potential cure. Although there were five Phase I human vaccine trials against SARS and MERS, the lack of data in humans ",09/09/2020,10.3390/v12080861,Jawad Al-Kassmy,"Department of Experimental Surgery, McGill University, Montreal General Hospital 1650 Cedar Avenue, Montreal, QC H3G 1A4, Canada",pubmed,0
83,32782402,Antibody therapies could be a bridge to a coronavirus vaccine - but will the world benefit?,NA,26/08/2020,10.1038/d41586-020-02360-y,Heidi Ledford,NA,pubmed,0
84,32782400,Russia's fast-track coronavirus vaccine draws outrage over safety.,NA,26/08/2020,10.1038/d41586-020-02386-2,Ewen Callaway,NA,pubmed,0
85,32780300,Multiple Sclerosis Disease-Modifying Therapy and the COVID-19 Pandemic: Implications on the Risk of Infection and Future Vaccination.,The coronavirus 2019 (COVID-19) pandemic is expected to linger. Decisions regarding initiation or continuation of disease-modifying therapy for multiple sclerosis have to consider the potential relevance to the pandemic. Understanding the mechanism of action and the possible idiosyncratic effects of each therapeutic agent on the immune system is imperative during this special time. The infectious side-effect profile as well as the route and frequency of administration of each therapeutic agent s,08/09/2020,10.1007/s40263-020-00756-y,Crystal Zheng,"Raabe College of Pharmacy, Ohio Northern University, Ada, OH, USA",pubmed,0
87,32770854,Clinical trial to test the efficacy of melatonin in COVID-19.,"The pharmacological properties of melatonin are well known. However, there is noticeable the lack of clinical trials that confirm the efficacy, security, absence of side effects in the short and long term, and the effective doses of melatonin. This point is especially important in diseases with high morbidity and mortality including COVID-19. There is not treatment for COVID-19, and several anti-inflammatory and antiviral molecules are being tested, and different vaccines are in preparation. Alt",20/09/2020,10.1111/jpi.12683,Dario Acu..a-Castroviejo,"Faculty of Medicine, Department of Physiology, Biomedical Research Center, Health Sciences Technology Park, University of Granada, Granada, Spain",pubmed,0
88,32769322,COVID-19: An up-to-date review - from morphology to pathogenesis.,"The entire world is under a devastating pandemic caused by COVID-19 with a high mortality rate. Knowledge of the viral structure, factors that help in its progression and spread, pathological findings, diagnostic methods and, treatment modalities helps in understanding the viral disease and also in treating the patients in a better way besides preventing the community spread of this deadly infection. The causative agent is a single- stranded RNA virus. The clinical spectrum varies in symptomatic",17/08/2020,10.4103/IJPM.IJPM_779_20,Amanjit Bal,"Department of Pathology, PGIMER, Chandigarh, India",pubmed,0
89,32756549,SARS-CoV-2 mRNA vaccine design enabled by prototype pathogen preparedness.,"A vaccine for severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) is needed to control the global coronavirus infectious disease (COVID-19) public health crisis. Atomic-level structures directed the application of prefusion-stabilizing mutations that improved the expression and immunogenicity of betacoronavirus spike proteins<sup>1</sup>. Using this established immunogen design, the release of SARS-CoV-2 sequences triggered immediate rapid manufacturing of an mRNA vaccine expressing the",06/08/2020,10.1038/s41586-020-2622-0,Kizzmekia S Corbett,Vaccine Research Center,pubmed,0
90,32756480,COVID-19: The Immune Responses and Clinical Therapy Candidates.,"The pandemic of coronavirus disease 2019 (COVID-19), with rising numbers of patients worldwide, presents an urgent need for effective treatments. To date, there are no therapies or vaccines that are proven to be effective against severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). Several potential candidates or repurposed drugs are under investigation, including drugs that inhibit SARS-CoV-2 replication and block infection. The most promising therapy to date is remdesivir, which is US",12/08/2020,10.3390/ijms21155559,Sareh Zhand,"School of Biomedical Engineering, University of Technology Sydney, Sydney, NSW 2007, Australia",pubmed,0
91,32756371,BCG Vaccination and Mortality of COVID-19 across 173 Countries: An Ecological Study.,"Ecological studies have suggested fewer COVID-19 morbidities and mortalities in Bacillus Calmette-Gu..rin (BCG)-vaccinated countries than BCG-non-vaccinated countries. However, these studies obtained data during the early phase of the pandemic and did not adjust for potential confounders, including PCR-test numbers per population (PCR-tests). Currently-more than four months after declaration of the pandemic-the BCG-hypothesis needs reexamining. An ecological study was conducted by obtaining data",21/08/2020,10.3390/ijerph17155589,Mitsuyoshi Urashima,"Division of Molecular Epidemiology, The Jikei University School of Medicine, Tokyo 105-8461, Japan",pubmed,0
92,32749496,The Development of COVID-19 Vaccines: Safeguards Needed.,NA,17/08/2020,10.1001/jama.2020.12461,Nicole Lurie,"Coalition for Epidemic Preparedness Innovations (CEPI), Harvard Medical School, Boston, Massachusetts",pubmed,0
93,32746653,Medication therapy strategies for the coronavirus disease 2019 (COVID-19): recent progress and challenges.,"The coronavirus disease 2019 (COVID-19) pandemic has spread globally since it outbroke in December 2019. The urgent pandemic presents an unprecedented challenge to develop and identify effective medication therapy strategies to combat the COVID-19. Here, we summarized and evaluated the current treatment drugs and regimens, and put forward the treatment recommendations, including using the potential repurposed or experimental drugs against COVID-19, e.g. chloroquine (CQ), hydroxychloroquine (HCQ)",01/09/2020,10.1080/17512433.2020.1805315,Xiaolei Yang,"School of Pharmacy, Fudan University , Shanghai, P.R. China",pubmed,0
94,32742241,Structure-Based Design with Tag-Based Purification and In-Process Biotinylation Enable Streamlined Development of SARS-CoV-2 Spike Molecular Probes.,"Biotin-labeled molecular probes, comprising specific regions of the SARS-CoV-2 spike, would be helpful in the isolation and characterization of antibodies targeting this recently emerged pathogen. To develop such probes, we designed constructs incorporating an N-terminal purification tag, a site-specific protease-cleavage site, the probe region of interest, and a C-terminal sequence targeted by biotin ligase. Probe regions included full-length spike ectodomain as well as various subregions, and ",09/08/2020,10.2139/ssrn.3639618,Tongqing Zhou,Vaccine Research Center,pubmed,0
95,32742146,Impact of COVID-19 on Clinical Research and Inclusion of Diverse Populations.,"The randomized clinical trial (RCT) has long been recognized as the 'gold standard' for developing evidence for clinical treatments and vaccines; however, the successful implementation and translation of these findings is predicated upon external validity. The generalization of RCT findings are jeopardized by the lack of participation of at-risk groups such as African Americans, with long-recognized disproportional representation. Distinct factors that deter participation in RCTs include distrus",13/08/2020,10.18865/ed.30.3.429,Daniel T Lackland,"Division of Translational Neurosciences and Population Studies, Department of Neurology, Medical University of South Carolina, Charleston, SC",pubmed,0
96,32741312,Anthocyanin derivatives as potent inhibitors of SARS-CoV-2 main protease: An in-silico perspective of therapeutic targets against COVID-19 pandemic.,"A new pathogen severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) has spread worldwide and become pandemic with thousands new deaths and infected cases globally. To treat the patients with coronavirus disease (COVID-19), currently no effective drug or vaccine is available. This necessity motivated us to explore potential lead compounds based natural products targeting main protease (M<sup>pro</sup>) enzyme of SARS-CoV-2. The M<sup>pro</sup> enzyme plays a key role in mediating viral re",03/08/2020,10.1080/07391102.2020.1801510,Zeynab Fakhar,"Molecular Sciences Institute, School of Chemistry, University of the Witwatersrand, Johannesburg, South Africa",pubmed,0
97,32739342,"COVID-19: An overview of the current pharmacological interventions, vaccines, and clinical trials.","COVID-19, the greatest public health emergency of the 21st century, has affected 215 countries and territories around the world resulting in 15,151,738 confirmed cases and 621,121 deaths. The outbreak has continued at breakneck pace despite stringent public health measures, ravaging the global economy and causing profound human casualties. Vaccination is currently the best bet for the prevention of COVID-19. Still, in its absence, there has been considerable interest in repurposing existing ther",03/09/2020,10.1016/j.bcp.2020.114184,Rohan Chakraborty,"Department of Medical Elementology and Toxicology, School of Chemical and Life Sciences, Jamia Hamdard, New Delhi, India",pubmed,0
98,32737453,China's coronavirus vaccines are leaping ahead - but face challenges as virus wanes.,NA,03/09/2020,10.1038/d41586-020-02244-1,David Cyranoski,NA,pubmed,0
99,32734670,Characteristics of Clinical Trials relating to COVID-19 registered at ClinicalTrials.gov.,"Since the beginning of the COVID-19 outbreak in China in December 2019, the epidemic has continued to spread globally. Despite continuous reports of clinical trials being launched, no studies have yet systematically summarized and analysed their characteristics. Our objective is to do this by reviewing trials registered at ClinicalTrials.gov. We searched the ClinicalTrials.gov database and retrieved all clinical trials on COVID-19 registered up to and including 3 April 2020. We summarized the ch",31/07/2020,10.1111/jcpt.13222,Yuhui Wang,"Department of Pharmacy, Zhengzhou University First Affiliated Hospital, Zhengzhou, China",pubmed,0
100,32731192,COVID-19: Understanding the science of antibody testing and lessons from the HIV epidemic.,"Potential pitfalls in the development, deployment and interpretation of antibody tests for COVID-19 are discussed. Lessons learned from the experience with the introduction of antibody tests for HIV are highlighted.Each test will need to be separately vetted for performance and clinical implementation based upon rigorous clinical trial data. The issues we highlight will also be similarly important for vaccine and therapeutic drug efficacy trials.",17/08/2020,10.1016/j.diagmicrobio.2020.115078,Stanley H Weiss,"Department of Medicine, Rutgers New Jersey Medical School, Newark, NJ, U.S.A.",pubmed,0
101,32729281,COVID-19 Intervention Scenarios for a Long-term Disease Management.,"The first outbreak of coronavirus disease 2019 (COVID-19) was successfully restrained in many countries around the world by means of a severe lockdown. Now, we are entering the second phase of the pandemics in which the spread of the virus needs to be contained within the limits that national health systems can cope with. This second phase of the epidemics is expected to last until a vaccination is available or herd immunity is reached. Long-term management strategies thus need to be developed. ",30/07/2020,10.34172/ijhpm.2020.130,Gudrun Wallentin,"Department of Geoinformatics - Z_GIS, University of Salzburg, Salzburg, Austria",pubmed,0
103,32726230,Remdesivir for the Treatment of COVID-19: A Systematic Review of the Literature.,"In March 2020, the World Health Organization declared the spread of SARS-CoV-2 a global pandemic. To date, coronavirus disease-2019 (COVID-19) has spread to over 200 countries, leading to over 1.6 million cases and over 99,000 deaths. Given that there is neither a vaccine nor proven treatment for COVID-19, there is currently an urgent need for effective pharmacotherapy. To address the need for an effective treatment of SARS-CoV-2 during the worldwide pandemic, this systematic review of intraveno",05/08/2020,10.5811/westjem.2020.5.47658,Arif Musa,"Wayne State University School of Medicine, Detroit, Michigan",pubmed,0
104,32725080,"Past, present, and future of COVID-19: a review.","SARS-CoV-2 has recently emerged, becoming a global threat, affecting directly all human beings owing to its morbidity and mortality and indirectly, due to the enormous economic and psychological impact produced by social isolation, the most effective measure so far, but unsustainable for a long period. The scientific effort to understand and control SARS-CoV-2 transmission and clinical impact has been huge, and important achievements are highlighted in this review. Diagnosis is central and is th",31/07/2020,10.1590/1414-431x202010475,C M Romano,"Hospital das Clinicas HCFMUSP (LIM52), Faculdade de Medicina, Universidade de S..o Paulo, S..o Paulo, SP, Brasil",pubmed,0
106,32719684,COVID-19 Coronavirus Vaccine Design Using Reverse Vaccinology and Machine Learning.,"To ultimately combat the emerging COVID-19 pandemic, it is desired to develop an effective and safe vaccine against this highly contagious disease caused by the SARS-CoV-2 coronavirus. Our literature and clinical trial survey showed that the whole virus, as well as the spike (S) protein, nucleocapsid (N) protein, and membrane (M) protein, have been tested for vaccine development against SARS and MERS. However, these vaccine candidates might lack the induction of complete protection and have safe",03/08/2020,10.3389/fimmu.2020.01581,Edison Ong,"Department of Computational Medicine and Bioinformatics, University of Michigan, Ann Arbor, MI, United States",pubmed,0
107,32719619,"While We Wait for a Vaccine Against SARS-CoV-2, Why Not Think About Available Drugs?","At the time of reception of this article (April 2, 2020), efforts to develop a specific vaccine against SARS-Cov-2, the causative agent of the coronavirus disease 2019 (COVID-19), had just begun trial phase 1, but full validation of this and other current developments is likely to take many more months to reach completion. The ongoing pandemic constitutes a major health burden of world proportions that is also having a devastating impact on whole economies worldwide, the knock-on effects of whic",29/07/2020,10.3389/fphys.2020.00820,Francisco J Barrantes,"Biomedical Research Institute (BIOMED), Argentina Pontifical Catholic University of Argentina (UCA) and National Scientific and Technical Research Council (CONICET), Buenos Aires, Argentina",pubmed,0
108,32718772,Considerations for the Surgical Management of Early Stage Lung Cancer During the COVID-19 Pandemic.,"The highly transmissible novel coronavirus (COVID-19) has infected over 8.8 million people globally and has upended the delivery of health care in the United States, creating unprecedented challenges to providing care to patients with early stage non-small cell lung cancer (NSCLC). The initial surge of patients with COVID-19 that have flooded hospitals has put a strain on physical space, workforce, and supplies. In addition, social distancing and the risk of COVID-19 transmission has created sig",28/07/2020,10.1016/j.cllc.2020.06.024,Robert E Merritt,"Thoracic Surgery Division, The Ohio State University Wexner Medical Center, Columbus, OH. Electronic address: Robert.Merritt@osumc",pubmed,0
109,32718020,"Potential Anti-COVID-19 Therapeutics that Block the Early Stage of the Viral Life Cycle: Structures, Mechanisms, and Clinical Trials.","The ongoing pandemic of coronavirus disease-2019 (COVID-19) is being caused by severe acute respiratory syndrome coronavirus-2 (SARS-CoV-2). The disease continues to present significant challenges to the health care systems around the world. This is primarily because of the lack of vaccines to protect against the infection and the lack of highly effective therapeutics to prevent and/or treat the illness. Nevertheless, researchers have swiftly responded to the pandemic by advancing old and new po",12/08/2020,10.3390/ijms21155224,Rami A Al-Horani,"Division of Basic Pharmaceutical Sciences, College of Pharmacy, Xavier University of Louisiana, New Orleans, LA 70125, USA",pubmed,0
110,32717321,Genomics approaches to synthesis plant-based biomolecules for therapeutic applications to combat SARS-CoV-2.,"COVID-19 caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) is devastative to the humankind for which neither vaccines nor precise therapeutic molecules for treatment are identified. The search for new drugs and repurposing of existing drugs are being performed; however, at the same time, research on plants to identify novel therapeutic compounds or testing the existing ones is progressing at a slower phase. In this context, genomics and biotechnology offer various tools and ",31/07/2020,10.1016/j.ygeno.2020.07.033,Namisha Sharma,"National Institute of Plant Genome Research, Aruna Asaf Ali Marg, New Delhi 110067, India",pubmed,0
111,32711692,Monitoring approaches for health-care workers during the COVID-19 pandemic.,"Health-care workers are crucial to any health-care system. During the ongoing COVID-19 pandemic, health-care workers are at a substantially increased risk of becoming infected with severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) and could come to considerable harm as a result. Depending on the phase of the pandemic, patients with COVID-19 might not be the main source of SARS-CoV-2 infection and health-care workers could be exposed to atypical patients, infected family members, conta",09/09/2020,10.1016/S1473-3099(20)30458-8,Julia A Bielicki,"Paediatric Infectious Diseases Research Group, Institute for Infection and Immunity, St George's University of London, London, UK",pubmed,0
112,32710003,Coronavirus vaccines leap through safety trials - but which will work is anybody's guess.,NA,04/09/2020,10.1038/d41586-020-02174-y,Ewen Callaway,NA,pubmed,0
